t,k,classifier,nonwhite_recid_rate_target,nonwhite_recid_rate_actual,dataset,method,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,geometric_mean,geometric_mean_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,true_positive_rate,true_positive_rate_std,false_positive_rate,false_positive_rate_std,true_negative_rate,true_negative_rate_std,false_negative_rate,false_negative_rate_std,spd,spd_std,disparate_impact,disparate_impact_std,eod,eod_std,equal_opportunity_ratio,equal_opportunity_ratio_std,false_positive_rate_difference,false_positive_rate_difference_std,predictive_equality,predictive_equality_std,true_negative_rate_difference,true_negative_rate_difference_std,true_negative_rate_parity,true_negative_rate_parity_std,false_negative_rate_difference,false_negative_rate_difference_std,false_negative_rate_parity,false_negative_rate_parity_std,accuracy_difference,accuracy_difference_std,accuracy_parity,accuracy_parity_std,aod,aod_std,average_odds_ratio,average_odds_ratio_std
0.0,3490,XGBoost,0.7,0.7,compas_t0.0_k3490,Baseline,0.7742904224159382,0.006506659566861484,0.7700562431458415,0.007400220845171746,0.769776377506824,0.007553543240259179,0.674889793359942,0.009806964977160321,0.7537276930719554,0.017517349425636222,0.7119875784906631,0.009023877724630903,0.7537276930719554,0.017517349425636222,0.2136152067802725,0.011257570699364427,0.7863847932197275,0.011257570699364406,0.24627230692804464,0.0175173494256362,-0.40714275386140386,0.03586255343399269,0.44109169955591154,0.037529373292654676,-0.1134928705398504,0.024183963183064306,0.8623295297519673,0.029570370042246462,-0.42499827612161356,0.06375625092459554,0.2688684263780363,0.059781941925140816,0.42499827612161356,0.0637562509245955,2.031108444414079,0.2366017109041647,0.11349287053985042,0.024183963183064275,1.6476991087344028,0.13639692314861976,0.1401646306365538,0.027638937327116645,1.2116311863639706,0.04582632398211378,-0.269245573330732,0.040355744323573584,0.5655989780650018,0.040765702822119505
0.0,3490,KNN,0.7,0.7,compas_t0.0_k3490,Baseline,0.7546708019224138,0.011665075953864236,0.7399673276867577,0.014451995484483312,0.7376812376880408,0.015366838042150504,0.6636989684888698,0.012722045060540893,0.6833170927433223,0.025841704411406027,0.6732811927180316,0.01864358212254692,0.6833170927433223,0.025841704411406027,0.20338243736980685,0.005739735165559086,0.7966175626301932,0.005739735165559086,0.31668290725667775,0.025841704411406024,-0.36049175574692016,0.02187018809503031,0.4533170636854843,0.018512837751746763,-0.09599665559397105,0.023118668136320648,0.8706001598231248,0.032156439936288014,-0.38014052788370395,0.04524344491498557,0.2839718664863203,0.03555034324436607,0.38014052788370406,0.045243444914985546,1.820052633801692,0.15418845763301522,0.09599665559397101,0.02311866813632065,1.3747977025392593,0.0890921022982358,0.15383814284832614,0.02082827049244346,1.2426799587002797,0.03685258508179488,-0.23806859173883752,0.023844237945866407,0.5772860131547225,0.021186049400746663
0.0,3490,MLP,0.7,0.7,compas_t0.0_k3490,Baseline,0.7825107491913552,0.009571811426566242,0.7761008229974979,0.014065845204094124,0.7753204443591836,0.014543845783981947,0.6894397897797498,0.011466191362702742,0.7514336301221547,0.036724665267683115,0.7185998238373964,0.017172274137027717,0.7514336301221547,0.036724665267683115,0.1992319841271587,0.014969812599594116,0.8007680158728412,0.01496981259959414,0.24856636987784525,0.036724665267683115,-0.4331973595214794,0.04810681209524174,0.4142596775940849,0.026184021808043148,-0.14504327390233426,0.026997279490902092,0.8277917186855607,0.030991497970403844,-0.4406655072399424,0.08659819626706043,0.24222416322604645,0.04385505638147416,0.4406655072399424,0.08659819626706045,2.1191414079135953,0.384351777649667,0.1450432739023343,0.026997279490902096,1.9726853940068125,0.2727393233770189,0.13656143798011708,0.022195405302888795,1.2023832863802777,0.03630518873932641,-0.2928543905711383,0.050568880564425406,0.5350079409558035,0.030382870675738388
0.0,3490,SVC,0.7,0.7,compas_t0.0_k3490,Baseline,0.7789610497321977,0.012493857752254978,0.7849908073840275,0.013482404946554592,0.7845821582101462,0.01337079801893901,0.6661284176616163,0.014598743656338125,0.808223152075611,0.020320044746825,0.7302526648527203,0.0154301272292231,0.808223152075611,0.020320044746825,0.2382415373075561,0.012647766066300366,0.7617584626924441,0.012647766066300366,0.19177684792438893,0.020320044746824983,-0.44490234234778897,0.026989774063774154,0.43878664791483885,0.02477202194307422,-0.11873771269744426,0.02644102207818147,0.8654454981206376,0.0300167050840899,-0.48442987491649425,0.04277004762684266,0.25986381739149106,0.03796114864679053,0.4844298749164942,0.042770047626842625,2.413018270335771,0.21400230528710223,0.11873771269744426,0.02644102207818152,2.0255078414561174,0.2571322166497938,0.1393583198878515,0.020774795739991723,1.2078374383745019,0.032953624746915475,-0.30158379380696926,0.028035575133798733,0.5626546577560644,0.02566131128821711
0.0,7615,LogReg,0.8,0.8,compas_t0.0_k7615,Baseline,0.8209593834110931,0.004485877211845857,0.7906277028097447,0.007607796350908465,0.7878710932865453,0.008390688616871443,0.6472790305973853,0.007571235102538783,0.7254658820232592,0.016579472623338525,0.6840538223526484,0.009435343454210968,0.7254658820232592,0.016579472623338525,0.14421047640376944,0.005129511556179133,0.8557895235962304,0.005129511556179152,0.274534117976741,0.016579472623338545,-0.608390966483489,0.02087390826272244,0.24650062459588812,0.011266380046048078,-0.2566705082141324,0.0224912404366819,0.7104044629041295,0.02243197945796583,-0.5949643111311825,0.04614460111678775,0.1337880641393095,0.013403299081183035,0.5949643111311825,0.046144601116787705,2.954077470040911,0.4060609397973242,0.2566705082141324,0.02249124043668192,3.3453197099414114,0.5924156728876104,0.19220489360960707,0.023421565289023564,1.2926045589708388,0.04586668683441059,-0.42581740967265747,0.025437906573168727,0.4220962635217195,0.0153144696547761
0.0,7615,XGBoost,0.8,0.8,compas_t0.0_k7615,Baseline,0.8358616086302433,0.006947615029703873,0.8101746495395661,0.012481394977583996,0.8081695134539777,0.013387255419518228,0.6715307544607233,0.009204289000028803,0.7549893640057574,0.02539602922932251,0.7106895175611365,0.015151224964589387,0.7549893640057574,0.02539602922932251,0.1346400649266252,0.004349074354166716,0.8653599350733747,0.004349074354166715,0.24501063599424255,0.025396029229322527,-0.5111377997103921,0.02870186873871329,0.29732932254040784,0.016458169453922367,-0.10934038370279982,0.030249241362768305,0.8675877617094988,0.03490988884320415,-0.48732048868580036,0.03892049387859592,0.15876672511106962,0.01755075451433834,0.48732048868580036,0.038920493878595884,2.1719827335985693,0.18235755989614832,0.10934038370279979,0.0302492413627683,1.6577840851455765,0.2900914366981372,0.20470807077382586,0.013619375799100695,1.3084071002746893,0.026995180781677643,-0.2983304361943001,0.03137663934982087,0.5131772434102843,0.023623662473952353
0.0,7615,KNN,0.8,0.8,compas_t0.0_k7615,Baseline,0.8210938813011772,0.004899644968197586,0.7794964561712984,0.010336365627008886,0.7742205480715199,0.012028206628378254,0.657432117664842,0.00683292972771918,0.6901355930044455,0.02323533201687436,0.6732204275022816,0.013096153248266365,0.6901355930044455,0.02323533201687436,0.13114268066184853,0.004683393771979463,0.8688573193381515,0.004683393771979463,0.30986440699555456,0.023235332016874357,-0.4578159717630186,0.016773895102013953,0.30912332768204004,0.010252765659781483,-0.08080265744695274,0.026201688836651617,0.8910383251649346,0.035098689722606845,-0.4514021632920196,0.031909569362852795,0.16849812445047593,0.015999753716075007,0.4514021632920196,0.03190956936285278,1.9949206898355132,0.1316464598757114,0.08080265744695275,0.026201688836651624,1.3159851717497895,0.11123400075132345,0.22996825732700038,0.018530102715961207,1.366316118492142,0.03753399718436223,-0.2661024103694862,0.018166585390575817,0.5297682248077052,0.016826006450163206
0.0,7615,MLP,0.8,0.8,compas_t0.0_k7615,Baseline,0.8417285730692651,0.004568487428100652,0.8189033136999111,0.00684457502332716,0.8173511225744245,0.007307377725436195,0.6803501771743063,0.010740070965876133,0.7698702026570879,0.017076967314130397,0.7221781701374559,0.008014273020795926,0.7698702026570879,0.017076967314130397,0.1320635752572658,0.007748661231331247,0.8679364247427342,0.007748661231331246,0.23012979734291208,0.017076967314130376,-0.5423302075999196,0.027502354905161803,0.2821216121115375,0.018136556627601122,-0.1317641741802816,0.03446903673499994,0.8458561916846186,0.03848608036932575,-0.519696672941692,0.03694335587333341,0.1423738471207277,0.017553059362165304,0.519696672941692,0.036943355873333465,2.335530971835566,0.20658639604759133,0.13176417418028155,0.03446903673499993,1.9203217274545186,0.3057764708213461,0.20342918607917157,0.009431810094595724,1.3028861837360952,0.016576086562984503,-0.3257304235609867,0.034771741852222406,0.4941150194026731,0.02611016155924453
0.0,7615,SVC,0.8,0.8,compas_t0.0_k7615,Baseline,0.8401780948558082,0.004429616455593476,0.830431706089434,0.010544309232611886,0.8300452188615134,0.011062329095841197,0.6651193778941239,0.0040531861352665795,0.8094918287541238,0.0242782811173605,0.7300929999517415,0.011329349095778466,0.8094918287541238,0.0242782811173605,0.148628416575256,0.00413448504334174,0.8513715834247441,0.00413448504334174,0.19050817124587618,0.024278281117360512,-0.5649023020428316,0.02118080201023933,0.2910399546607908,0.011280566173717865,-0.12320023501231561,0.015331313856013632,0.8607040998146177,0.019858062442753895,-0.5594306453240271,0.04789499788912603,0.15115153596436753,0.014503467238689982,0.5594306453240271,0.04789499788912602,2.686422776344494,0.36568214451506537,0.12320023501231556,0.015331313856013636,2.089120957638399,0.08267244361037149,0.20156976893083964,0.018962592645410368,1.3009357164192712,0.03581392166698375,-0.34131544016817134,0.025909174272131814,0.5059278178894926,0.014319619233705259
0.25,1428,LogReg,0.6,0.6000323206205559,compas_t0.25_k1428,Baseline,0.6542455229955231,0.011575629404445639,0.645213883138184,0.010816725271250842,0.6357419705650458,0.009796583271649,0.649583529187177,0.019977137081179642,0.536207280879412,0.014078896470883671,0.5871874094204161,0.010523967641488797,0.536207280879412,0.014078896470883671,0.245779514603044,0.02406594709520044,0.754220485396956,0.02406594709520044,0.4637927191205879,0.014078896470883659,-0.6493512716577138,0.03599537891697208,0.23091421064765885,0.03467702275018994,-0.6091749711883939,0.0389693177846285,0.3358526452520823,0.03391983183265068,-0.612564338542686,0.03826638708550371,0.16329806361877774,0.043905367441400646,0.612564338542686,0.03826638708550374,3.29945011795972,0.26245542409714623,0.6091749711883939,0.0389693177846285,8.587923048668502,1.5943344747181536,-0.009938985542709689,0.01602545334601202,0.9851780379068377,0.02421843609351546,-0.61086965486554,0.03396210671870937,0.24957535443543,0.035704244300658966
0.25,1428,XGBoost,0.6,0.6000323206205559,compas_t0.25_k1428,Baseline,0.7163865191825718,0.006955915902756743,0.7191291222438763,0.007511628742803504,0.7177967841295969,0.007681117591194471,0.6703863412823285,0.011038201949366867,0.7522131784426865,0.03222573364608812,0.7083994481789383,0.011793289182622428,0.7522131784426865,0.03222573364608812,0.31395493395493396,0.02662769192649535,0.6860450660450661,0.026627691926495334,0.24778682155731335,0.0322257336460881,-0.291026589833026,0.01146029886026838,0.5970383038710494,0.02258374502353261,-0.11051182970646059,0.035487301214208636,0.8654211841453403,0.044279303481817196,-0.32574922356653524,0.04836616240915414,0.4328349044837088,0.05035245424976256,0.32574922356653524,0.048366162409154145,1.7822246647928157,0.1922434474708926,0.11051182970646056,0.035487301214208636,1.6364426577631028,0.22006373064065712,0.07002460078696274,0.035714922943121404,1.1070675693359626,0.05787198602531026,-0.2181305266364979,0.01191470845082021,0.6491280443145245,0.02421424072968409
0.25,1428,KNN,0.6,0.6000323206205559,compas_t0.25_k1428,Baseline,0.67692843219159,0.008525051959245489,0.6753506150444435,0.008880660146850268,0.6749742574292396,0.009064424701259606,0.6452788184288523,0.008895907464510447,0.6563207739437248,0.017563590407719185,0.6506541576078114,0.01124572441935192,0.6563207739437248,0.017563590407719185,0.30561954385483797,0.011610236565537219,0.6943804561451621,0.011610236565537202,0.3436792260562752,0.01756359040771917,-0.2602668497917665,0.03534987630951285,0.602811538843351,0.03741029789109239,-0.11120873161141616,0.05810679390171928,0.850140877411118,0.07266127406084945,-0.29586014103785413,0.02560386437067835,0.4532500743058797,0.02776899736786717,0.2958601410378542,0.02560386437067834,1.6481900428582215,0.09043690708791352,0.11120873161141617,0.05810679390171927,1.4443680161727286,0.2849798340642314,0.07807538383235361,0.030069928505880143,1.1271649910481905,0.05055596099586173,-0.20353443632463514,0.0372805093606259,0.651695475858499,0.04109799344245898
0.25,1428,MLP,0.6,0.6000323206205559,compas_t0.25_k1428,Baseline,0.7105996829681039,0.004856491985795344,0.7107138497953349,0.005899922700716224,0.7104542521704922,0.005893019486970175,0.674950222685226,0.005863507763336086,0.7120858649547175,0.023827043496885667,0.692761504124206,0.009988265735083766,0.7120858649547175,0.023827043496885667,0.2906581653640477,0.01536723360586342,0.7093418346359522,0.015367233605863406,0.2879141350452826,0.023827043496885685,-0.3559620989851986,0.03198160111494385,0.5186697081161044,0.03504797656170484,-0.1973353218990803,0.037517538992571715,0.7646618060062996,0.040729756751033186,-0.37732855617875016,0.035191673955413096,0.36154585348519713,0.04408204222333226,0.37732855617875016,0.035191673955413096,1.9256368733104232,0.12156393904676091,0.19733532189908026,0.0375175389925717,2.2675936847697007,0.37107864791314377,0.059651076533208246,0.021403967625030756,1.0902151719320028,0.03379892027247834,-0.28733193903891524,0.03239146367403916,0.5631038297457482,0.03791262976035894
0.25,1428,SVC,0.6,0.6000323206205559,compas_t0.25_k1428,Baseline,0.6889603147826832,0.0043180298199112215,0.6845325969433973,0.0048951134009579955,0.6822533602841384,0.005595894589575848,0.6712216663220418,0.006972005907587783,0.6310860814959176,0.018951450057044277,0.650322634996658,0.008824630063791958,0.6310860814959176,0.018951450057044277,0.2620208876091229,0.013836918018269364,0.7379791123908771,0.013836918018269355,0.36891391850408245,0.018951450057044288,-0.4858186084383519,0.01570033357288211,0.37634107108021286,0.02181150999966498,-0.3959297674733916,0.011250070013270356,0.5490284898922554,0.01694870271466877,-0.45905795123415105,0.027552017237984724,0.26743731535880183,0.03210872630579488,0.45905795123415116,0.027552017237984724,2.2328002441770125,0.11948796586475825,0.3959297674733916,0.01125007001327033,4.307978779303644,0.4225066988204708,0.012927938763017743,0.014208788130954851,1.0193453557984624,0.02128133562155876,-0.4274938593537714,0.016961395511434888,0.40823290262552864,0.023285350599389777
0.25,3490,LogReg,0.7,0.7,compas_t0.25_k3490,Baseline,0.6862851667707028,0.00230693991155467,0.6137667446603703,0.0027809994063968673,0.5464542605737306,0.004339422772197218,0.6479173312196124,0.005550845418585388,0.3343427974575516,0.005296799489227845,0.4410611488411103,0.005472527346528435,0.3343427974575516,0.005296799489227845,0.10680930813681086,0.002109485429317889,0.8931906918631892,0.0021094854293178867,0.6656572025424484,0.005296799489227831,-0.8333338875264975,0.010643662117429419,0.0,0.0,-0.8904594038822227,0.01417134362199489,0.0,0.0,-0.7453554831472677,0.015257540315402888,0.0,0.0,0.7453554831472677,0.0152575403154029,3.9412652085095745,0.23760234881743916,0.8904594038822227,0.01417134362199489,9.277386758588094,1.1498675389490702,0.05982709173282341,0.010096179572011475,1.0937275410019536,0.01730945663844657,-0.8179074435147452,0.010608149574089386,0.0,0.0
0.25,3490,XGBoost,0.7,0.7,compas_t0.25_k3490,Baseline,0.7718608214346514,0.005948142185991523,0.767554171940452,0.006048002722148549,0.7673123591012315,0.006126224197468587,0.6717720210990089,0.009289031130873123,0.7509489599653534,0.01265424564140664,0.7090659240118251,0.007308988262262974,0.7509489599653534,0.01265424564140664,0.21584061608444985,0.010097371293322869,0.7841593839155501,0.010097371293322884,0.24905104003464656,0.012654245641406653,-0.40243204647161585,0.03442149189543832,0.4450889730374719,0.03450061556384092,-0.10178925722549884,0.015813677953535835,0.8750244019647819,0.019410482385927783,-0.4308561975566943,0.061893689759501,0.26756507128571694,0.05588501477472571,0.4308561975566943,0.061893689759500985,2.063161803949475,0.23936203451723176,0.10178925722549885,0.01581367795353588,1.5501832261621948,0.09184850952715762,0.14865189238072565,0.026062098426675253,1.2272715273393828,0.043984890918572134,-0.2663227273910966,0.03741352592472444,0.5712947366252494,0.03589463339646412
0.25,3490,KNN,0.7,0.7,compas_t0.25_k3490,Baseline,0.7441142011550197,0.01193456862170766,0.726491157048643,0.01397236641073491,0.7231905195565136,0.014849390907453124,0.6531169106075552,0.01519446343608796,0.6585915905588037,0.024244248527907065,0.6557292736371406,0.01811815600993557,0.6585915905588037,0.024244248527907065,0.20560927646151778,0.010057873186272435,0.7943907235384822,0.010057873186272439,0.3414084094411963,0.024244248527907034,-0.3589252229682838,0.027786291767940237,0.4484498711554513,0.02752244073461695,-0.12053329717759251,0.04124811362035597,0.8359311928573853,0.05556796629309889,-0.3679157628156079,0.05935303263552261,0.29814657660496635,0.04522136859785487,0.36791576281560795,0.05935303263552262,1.790074306162388,0.19079752802735062,0.12053329717759247,0.04124811362035597,1.4546984216140841,0.16042913261494077,0.14331326902173572,0.02822264212504415,1.2278208903412449,0.05028583661235,-0.24422452999660021,0.03649617658693594,0.5670388847311758,0.035646787365725206
